Nemzet (NOB-kód)	Részvétel nyári olimpián	Arany nyári olimpián	Ezüst nyári olimpián	Bronz nyári olimpián	Részvétel téli olimpián	Arany téli olimpián	Ezüst téli olimpián	Bronz téli olimpián
Mozambik Mozambik (MOZ)	9	1	0	1	0	0	0	0
Nagy-Britannia Nagy-Britannia (GBR)	27	236	272	272	21	9	3	10
Tanzánia Tanzánia (TAN)	12	0	2	0	0	0	0	0
NDK NDK (GDR)	5	153	129	127	6	39	36	35
Németország Németország (GER)	15	174	182	217	10	70	72	48
Nemzetközi Csapat Nemzetközi Csapat (ZZX)	3	8	5	4	0	0	0	0
Niger Niger (NIG)	11	0	0	1	0	0	0	0
Nigéria Nigéria (NGR)	15	3	8	12	0	0	0	0
Norvégia Norvégia (NOR)	24	56	49	43	21	107	106	90
NSZK NSZK (FRG)	5	56	67	81	6	11	15	13
Olaszország Olaszország (ITA)	26	198	166	185	21	37	32	37
Oroszország Oroszország (RUS)	8	133	127	147	5	36	29	26
Örményország Örményország (ARM)	5	1	2	9	5	0	0	0
Pakisztán Pakisztán (PAK)	16	3	3	4	1	0	0	0
Panama Panama (PAN)	16	1	0	2	0	0	0	0
Tonga Tonga (TGA)	8	0	1	0	0	0	0	0
Vietnam Vietnam (VIE)	14	0	2	0	0	0	0	0
Portugália Portugália (POR)	23	4	8	11	6	0	0	0
Puerto Rico Puerto Rico (PUR)	17	0	2	6	6	0	0	0
Románia Románia (ROU)	20	88	94	119	19	0	0	1
Spanyolország Spanyolország (ESP)	22	37	59	34	18	1	0	1
Burundi Burundi (BDI)	5	1	0	0	0	0	0	0
Suriname Suriname (SUR)	12	1	0	1	0	0	0	0
Svájc Svájc (SUI)	27	47	73	65	21	44	37	46
Svédország Svédország (SWE)	26	143	164	176	21	48	33	48
Szaúd-Arábia Szaúd-Arábia (KSA)	10	0	1	2	0	0	0	0
Ecuador Ecuador (ECU)	13	1	1	0	0	0	0	0
Szerbia Szerbia (SRB)	3	1	2	4	1	0	0	0
Szerbia és Montenegró Szerbia és Montenegró (SCG)	3	2	4	3	3	0	0	0
Szingapúr Szingapúr (SIN)	15	0	2	2	0	0	0	0
Szíria Szíria (SYR)	12	1	1	1	0	0	0	0
Szlovákia Szlovákia (SVK)	5	7	9	8	5	1	2	1
Szlovénia Szlovénia (SLO)	6	4	6	9	6	0	2	5
Szovjetunió Szovjetunió (URS)	9	395	319	296	9	78	57	59
Egyesült Arab Emírségek Egyesült Arab Emírségek (UAE)	8	1	0	0	0	0	0	0
Tádzsikisztán Tádzsikisztán (TJK)	5	0	1	2	3	0	0	0
Tajvan Tajvan (TPE)	8	2	6	11	8	0	0	0
Grenada Grenada (GRN)	8	1	0	0	0	0	0	0
Thaiföld Thaiföld (THA)	15	7	6	11	2	0	0	0
Togo Togo (TOG)	9	0	0	1	0	0	0	0
Luxemburg Luxemburg (LUX)[1]	22	1	1	0	7	0	2	0
Törökország Törökország (TUR)	21	39	25	23	15	0	0	0
Trinidad és Tobago Trinidad és Tobago (TRI)	16	2	5	11	3	0	0	0
Tunézia Tunézia (TUN)	13	3	3	4	0	0	0	0
Uganda Uganda (UGA)	14	2	3	2	0	0	0	0
Új-Zéland Új-Zéland (NZL)	22	42	18	39	14	0	1	0
Ukrajna Ukrajna (UKR)	5	34	27	55	5	1	1	3
Uruguay Uruguay (URU)	20	2	2	6	1	0	0	0
Üzbegisztán Üzbegisztán (UZB)	5	5	5	10	5	1	0	0
Venezuela Venezuela (VEN)	17	2	2	8	3	0	0	0
Peru Peru (PER)[2]	17	1	3	0	1	0	0	0
Zambia Zambia (ZAM)	12	0	1	1	0	0	0	0
Zimbabwe Zimbabwe (ZIM)	12	3	4	1	0	0	0	0
